pack,variant_id,model_id,operator,assigned_class,ai_edit_matches_label,ai_edit_note,ai_class_rederived,ai_class_matches,ai_detections_recomputed_ok,n_detection_rows,ai_trace_detections_recomputed_ok,n_trace_rows,flag
canonical_survivors,m-scale_conductance-211745202a,hay2011_soma,scale_conductance,6_silent_under_canonical,yes,"1 value(s) x1.1, same units, nothing else changed",6_silent_under_canonical,yes,yes,4,yes,6,
canonical_survivors,m-scale_conductance-75492a609a,hay2011_soma,scale_conductance,4_equivalent_within_tested_domain,yes,"1 value(s) x0.5, same units, nothing else changed",4_equivalent_within_tested_domain,yes,n/a (no detections),0,yes,3,
canonical_survivors,m-scale_gate_time_constant-02eb4e0b90,hay2011_soma,scale_gate_time_constant,6_silent_under_canonical,yes,"2 value(s) x1.25, same units, nothing else changed",6_silent_under_canonical,yes,yes,4,yes,6,
canonical_survivors,m-scale_gate_time_constant-31e82d8467,migliore2005_ca1_soma,scale_gate_time_constant,4_equivalent_within_tested_domain,yes,"1 value(s) x0.8, same units, nothing else changed",4_equivalent_within_tested_domain,yes,n/a (no detections),0,yes,15,
canonical_survivors,m-scale_gate_time_constant-de97b02e71,bbp2015_soma,scale_gate_time_constant,6_silent_under_canonical,yes,"2 value(s) x1.25, same units, nothing else changed",6_silent_under_canonical,yes,yes,4,yes,6,
canonical_survivors,m-shift_reversal-e5f14f8fb3,hay2011_soma,shift_reversal,4_equivalent_within_tested_domain,yes,"1 value(s) shifted -10 mV, nothing else changed",4_equivalent_within_tested_domain,yes,n/a (no detections),0,yes,3,
random20,m-duplicate_conductance-49ae908693,smith2013_singlecomp,duplicate_conductance,4_equivalent_within_tested_domain,yes,"one element ca_all_dup added, identical to ca_all except id",4_equivalent_within_tested_domain,yes,n/a (no detections),0,n/a (no trace detections),0,
random20,m-duplicate_conductance-f1055b2803,migliore2005_ca1_soma,duplicate_conductance,5_non_equivalent,yes,"one element kdr_all_dup added, identical to kdr_all except id",5_non_equivalent,yes,yes,28,yes,16,
random20,m-increase_dt-1086ebecdc,traub2005_testseg2,increase_dt,6_silent_under_canonical,yes,harness step x4 and probe dt_factor 4; nothing else,6_silent_under_canonical,yes,yes,10,yes,3,
random20,m-increase_dt-9ff98cb7be,smith2013_singlecomp,increase_dt,6_silent_under_canonical,yes,harness step x4 and probe dt_factor 4; nothing else,6_silent_under_canonical,yes,yes,4,yes,4,
random20,m-scale_capacitance-8d53b9976a,traub2005_testseg_all,scale_capacitance,5_non_equivalent,yes,"1 value(s) x0.8, same units, nothing else changed",5_non_equivalent,yes,yes,28,yes,6,
random20,m-scale_capacitance-8f1d58bf3d,traub2005_testseg_all,scale_capacitance,5_non_equivalent,yes,"1 value(s) x0.5, same units, nothing else changed",5_non_equivalent,yes,yes,36,yes,8,
random20,m-scale_conductance-056f6e95e6,migliore2005_ca1_soma,scale_conductance,5_non_equivalent,yes,"1 value(s) x2, same units, nothing else changed",5_non_equivalent,yes,yes,50,yes,30,
random20,m-scale_conductance-2956a62118,bbp2015_soma,scale_conductance,6_silent_under_canonical,yes,"1 value(s) x0.9, same units, nothing else changed",6_silent_under_canonical,yes,yes,2,yes,15,
random20,m-scale_conductance-c2b2371643,migliore2005_ca1_soma,scale_conductance,6_silent_under_canonical,yes,"1 value(s) x0.9, same units, nothing else changed",6_silent_under_canonical,yes,yes,10,yes,18,
random20,m-scale_conductance-c9ac5a125c,traub2005_testseg2,scale_conductance,5_non_equivalent,yes,"1 value(s) x0.5, same units, nothing else changed",5_non_equivalent,yes,yes,40,yes,16,
random20,m-scale_gate_slope-039828a4db,bbp2015_soma,scale_gate_slope,5_non_equivalent,yes,"2 value(s) x0.8, same units, nothing else changed",5_non_equivalent,yes,yes,14,yes,18,
random20,m-scale_gate_time_constant-02eb4e0b90,hay2011_soma,scale_gate_time_constant,6_silent_under_canonical,yes,"2 value(s) x1.25, same units, nothing else changed",6_silent_under_canonical,yes,yes,4,yes,6,
random20,m-scale_gate_time_constant-97ff619aea,smith2013_singlecomp,scale_gate_time_constant,6_silent_under_canonical,yes,q10Settings fixedQ10=0.5 inserted on gate[@id='h']; nothing else,6_silent_under_canonical,yes,yes,6,yes,6,
random20,m-shift_forward_rate_midpoint-3567e7da5d,traub2005_testseg_all,shift_forward_rate_midpoint,5_non_equivalent,yes,"1 value(s) shifted +5 mV, nothing else changed",5_non_equivalent,yes,yes,18,yes,12,
random20,m-shift_gate_midpoint-0bf496636d,traub2005_testseg2,shift_gate_midpoint,5_non_equivalent,yes,"2 value(s) shifted +10 mV, nothing else changed",5_non_equivalent,yes,yes,18,yes,6,
random20,m-shift_gate_midpoint-f1b7d12414,migliore2005_ca1_soma,shift_gate_midpoint,5_non_equivalent,yes,"2 value(s) shifted +10 mV, nothing else changed",5_non_equivalent,yes,yes,48,yes,20,
random20,m-shift_reversal-293fd11ac3,traub2005_testseg_all,shift_reversal,5_non_equivalent,yes,"1 value(s) shifted -5 mV, nothing else changed",5_non_equivalent,yes,yes,8,yes,4,
