protocol_id,kind,description,params_json,features,implemented,not_implemented_reason
P01_baseline,baseline,Zero-current baseline,"{""duration_ms"":700}",baseline_voltage;steady_state_voltage;spike_count;firing_regime,true,
P02_weak_step,step,Weak depolarising step (0.5 x rheobase),"{""duration_ms"":500,""multiple"":0.5,""post_ms"":200}",baseline_voltage;steady_state_voltage;voltage_deflection;spike_count,true,
P03_rheobase,rheobase,"Rheobase search (500 ms steps, bracketing grid)","{""duration_ms"":500,""post_ms"":0}",rheobase,true,
P04_step_2x,step,Step at 2 x rheobase,"{""duration_ms"":500,""multiple"":2.0,""post_ms"":200}",spike_count;mean_frequency;first_spike_latency;ap_amplitude;ap_half_width;ahp_depth;first_isi;last_isi;adaptation_index;burst_count;firing_regime,true,
P05_long_step,step,"Long suprathreshold step (1.5 x rheobase, 2 s)","{""duration_ms"":2000,""multiple"":1.5,""post_ms"":200}",spike_count;mean_frequency;first_spike_latency;ap_amplitude;ap_half_width;ahp_depth;first_isi;last_isi;adaptation_index;burst_count;firing_regime,true,
P06_ramp,ramp,Depolarising ramp 0 -> 3 x rheobase over 1 s,"{""duration_ms"":1000,""finish_multiple"":3.0,""post_ms"":200}",spike_count;first_spike_latency;mean_frequency;firing_regime,true,
P07_hyperpolarizing_step,step,Hyperpolarising step (-1 x rheobase),"{""duration_ms"":500,""multiple"":-1.0,""post_ms"":200}",baseline_voltage;steady_state_voltage;voltage_deflection;sag_ratio;minimum_voltage,true,
P08_rebound,rebound,"Hyperpolarisation (-2 x rheobase, 500 ms) then release","{""duration_ms"":500,""multiple"":2.0,""post_window_ms"":300}",spike_count;first_spike_latency;maximum_voltage;firing_regime,true,
P09_short_pulse,short_pulse,"Short suprathreshold pulse (3 ms, 10 x rheobase)","{""multiple"":10.0,""post_ms"":140,""pulse_ms"":3,""window_ms"":60}",spike_count;first_spike_latency;ap_amplitude;ap_half_width;ahp_depth,true,
P10_paired_pulses,paired_pulse,"Paired pulses (3 ms, 10 x rheobase, 20 ms apart)","{""interval_ms"":20,""multiple"":10.0,""post_ms"":120,""pulse_ms"":3,""window_ms"":80}",spike_count;first_spike_latency;first_isi;ap_amplitude,true,
P11_chirp,chirp,Deterministic chirp,{},,false,NeuroML v2.3.1 core inputs have no chirp type (sineGenerator has a fixed period); deferred as the specification allows
P12_frozen_noise,frozen_noise,Frozen pseudo-random waveform,{},,false,no core arbitrary-waveform input; later extension per specification
