model_id,name,snapshot,cell_file,cell_id,harness_lems,harness_output_file,harness_v_column,temperature,source_family,citation,source_url,commit,license,license_url,download_date,simulator,expected_behavior,inclusion,inclusion_reason
pospischil2008_rs,Pospischil 2008 regular-spiking (RS) cortical cell,PospischilEtAl2008@049081c3,NeuroML2/cells/RS/RS.cell.nml,RS,NeuroML2/cells/RS/LEMS_RS.xml,RS.dat,1,36.0 degC,pospischil2008,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",https://github.com/OpenSourceBrain/PospischilEtAl2008,049081c39357d9e7c478b63ef7b10f374d1c50f4,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,2026-09-13,jNeuroML,"Single compartment; Na, Kd, IM (slow K) and leak. Shipped OMV reference: 5 spikes with lengthening intervals under a 0.75 nA step (expected spike-frequency adaptation; to confirm by simulation).",include,Pilot fixture 1: adapting regular spiking; MIT; OMV-tested; validates with jnml and libNeuroML
pospischil2008_lts,Pospischil 2008 low-threshold-spiking (LTS) cell,PospischilEtAl2008@049081c3,NeuroML2/cells/LTS/LTS.cell.nml,LTS,NeuroML2/cells/LTS/LEMS_LTS.xml,LTS.dat,1,36.0 degC,pospischil2008,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",https://github.com/OpenSourceBrain/PospischilEtAl2008,049081c39357d9e7c478b63ef7b10f374d1c50f4,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,2026-09-13,jNeuroML,"Single compartment; adds T-type Ca (IT, custom LEMS gate types) and a Ca pool. Expected low-threshold burst onset and post-inhibitory rebound (rebound unverified). Late spike times are strongly dt-sensitive under forward Euler (pilot dt probe).",include,Pilot fixture 2: T-current / rebound behaviour; valid under jnml -validate (fails strict libNeuroML XSD because of custom ComponentTypes)
pospischil2008_fs,Pospischil 2008 fast-spiking (FS) cell,PospischilEtAl2008@049081c3,NeuroML2/cells/FS/FS.cell.nml,FS,NeuroML2/cells/FS/LEMS_FS.xml,FS.dat,1,36.0 degC,pospischil2008,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",https://github.com/OpenSourceBrain/PospischilEtAl2008,049081c39357d9e7c478b63ef7b10f374d1c50f4,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,2026-09-13,jNeuroML,Single compartment; Na/Kd/leak; regular non-adapting tonic firing expected.,include,"Pilot 2 model (D-053): eligible under all 13 curation criteria in campaign curation-v3; selected for source, channel-composition and response diversity, not for any detection outcome"
pospischil2008_ib,Pospischil 2008 intrinsically bursting (IB) cell,PospischilEtAl2008@049081c3,NeuroML2/cells/IB/IB.cell.nml,IB,NeuroML2/cells/IB/LEMS_IB.xml,IB.dat,1,36.0 degC,pospischil2008,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",https://github.com/OpenSourceBrain/PospischilEtAl2008,049081c39357d9e7c478b63ef7b10f374d1c50f4,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,2026-09-13,jNeuroML,Single compartment; adds high-threshold Ca (IL); bursting-type onset labelled IB (unverified). Shipped step outlasts the simulation.,candidate,Correlated with RS/LTS; candidate for the full study only
nml2_hh_example,NeuroML2 single-compartment Hodgkin-Huxley example cell,NeuroML2@a5f5dadc,examples/NML2_SingleCompHHCell.nml,hhcell,LEMSexamples/LEMS_NML2_Ex5_DetCell.xml,results/ex5_v.dat,1,,neuroml2_examples,"Hodgkin AL, Huxley AF (1952). A quantitative description of membrane current and its application to conduction and excitation in nerve. J Physiol 117(4):500-544. doi:10.1113/jphysiol.1952.sp004764 (NeuroML2 teaching implementation)",https://github.com/NeuroML/NeuroML2,a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58,LGPL-3.0,https://github.com/NeuroML/NeuroML2/blob/a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58/LICENSE.lesser,2026-09-13,jNeuroML,Classic HH squid axon kinetics on a 1000 um2 soma; regular tonic firing; no adaptation or rebound currents.,include,"Pilot 2 model (D-053): eligible under all 13 curation criteria in campaign curation-v3; selected for source, channel-composition and response diversity, not for any detection outcome"
wangbuzsaki1996_wb,Wang and Buzsaki 1996 hippocampal interneuron,WangBuzsaki1996@c5322844,NeuroML2/LEMS/WangBuzsaki.cell.nml,wb1,NeuroML2/LEMS/LEMS_WangBuzsaki.xml,wangbuzsaki.dat,1,37 degC,wangbuzsaki1996,"Wang X-J, Buzsaki G (1996). Gamma oscillation by synaptic inhibition in a hippocampal interneuronal network model. J Neurosci 16(20):6402-6413. doi:10.1523/jneurosci.16-20-06402.1996",https://github.com/OpenSourceBrain/WangBuzsaki1996,c532284492c3e421a7f8e88b3090af8ffee8cf6a,MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/WangBuzsaki1996/blob/c532284492c3e421a7f8e88b3090af8ffee8cf6a/LICENSE,2026-09-13,jNeuroML,Single compartment; instantaneous Na activation (custom gate type); fast tonic non-adapting firing.,exclude,"EXCLUDED from the primary study (D-051): its own cell file fails NeuroML v2.3.1 validation - jnml: ""cvc-complex-type.3.2.2: Attribute 'type' is not allowed to appear in element 'gateHHrates'"" (WangBuzsaki.cell.nml line 10, type=gateHHratesInstantaneous; the network file passes and libNeuroML strict passes). Including it would need a model-specific schema exception or a manual repair that changes the representation of the instantaneous sodium activation gate; it is not repaired. Provenance: OpenSourceBrain/WangBuzsaki1996 @ c532284492c3e421a7f8e88b3090af8ffee8cf6a, hash-verified snapshot; licence MIT (NeuroML2 directory), verified at that commit. Execution is fine (shipped harness runs, 10 spikes; rheobase 0.00017 nA). Potential exploratory use: a prespecified sensitivity analysis with the baseline-error exception, reported separately and never pooled. Packet: docs/WANG_BUZSAKI_DECISION_PACKET.md"
acnet2_pyr_soma,ACnet2 (Beeman) pyramidal cell soma with Traub 1991 channels (pyr_soma_m_in_b_in),NeuroML2@a5f5dadc,LEMSexamples/morphologies/pyr_soma_m_in_b_in.cell.nml,pyr_soma_m_in_b_in,LEMSexamples/morphologies/LEMS_m_in_b_in.xml,pyramidal_soma_0.dat,1,6.3 degC,acnet2_traub1991,"Beeman D (2013). A modeling study of cortical waves in primary auditory cortex. BMC Neuroscience 14(Suppl 1):P23. doi:10.1186/1471-2202-14-S1-P23 | channels (per channel-file notes): Traub RD, Wong RK, Miles R, Michelson H (1991). A model of a CA3 hippocampal pyramidal neuron incorporating voltage-clamp data on intrinsic conductances. Journal of Neurophysiology 66(2):635-650. doi:10.1152/jn.1991.66.2.635",https://github.com/NeuroML/NeuroML2,a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58,LGPL-3.0 (LICENSE.lesser),https://github.com/NeuroML/NeuroML2/blob/a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58/LICENSE.lesser,2026-09-16,jNeuroML,"Single segment (d 23 um, L 17 um). Na_pyr 120, Kdr_pyr 80, Ca_pyr 10 (fixed erev 80 mV), Kahp_pyr 2.5, leak 0.142 mS/cm2; Cm 2.84 uF/cm2; Ca_conc pool. Harness: +0.2 nA 100-600 ms. Shipped reference for the jNeuroML OMV test (.test.mep): 8 spikes, ISI 18.3, 27.9, 107.7 ms, then about 76 ms (strong early adaptation into slow regular firing). Not simulated in this sweep.",include,"Pilot 2 model (D-053): eligible under all 13 curation criteria in campaign curation-v3; selected for source, channel-composition and response diversity, not for any detection outcome"
migliore2014_mt_soma,Migliore et al. 2014 olfactory bulb mitral-cell soma (MT_soma test cell),MiglioreEtAl14_OlfactoryBulb3D@eaad1c8f,NeuroML2/Channels/test/MT_soma.cell.nml,MT_soma,NeuroML2/Channels/test/LEMS_OlfactoryTest_12.xml,CG_MT_soma_0.0.dat,1,12.0 degC,migliore2014,"Migliore M, Cavarretta F, Hines ML, Shepherd GM (2014). Distributed organization of a brain microcircuit analyzed by three-dimensional modeling: the olfactory bulb. Frontiers in Computational Neuroscience 8. doi:10.3389/fncom.2014.00050",https://github.com/OpenSourceBrain/MiglioreEtAl14_OlfactoryBulb3D,eaad1c8f4afc9a19ff7b2492c150e8b42cc18edf,MIT,https://github.com/OpenSourceBrain/MiglioreEtAl14_OlfactoryBulb3D/blob/eaad1c8f4afc9a19ff7b2492c150e8b42cc18edf/LICENSE,2026-09-13,jNeuroML,"Single compartment; nax (shifted), kdrmt, kamt (A-type), pas. Screening (run 2026-09-13T16:00:56+00:00_aa8fa6a0): shipped harness 1 spike matching .mep (0.06 ms); rheobase 0.0248 nA; delayed low-rate regular firing (latency 18 ms, ISI 73-79 ms at 2x rheobase); slight ISI lengthening (1.24 over 2 s); no sag or rebound.",include,"Pilot 2 model (D-053): eligible under all 13 curation criteria in campaign curation-v3; selected for source, channel-composition and response diversity, not for any detection outcome"
osb_hh2_477127614,OSB HH2 point neuron tuned to Allen Cell Types specimen 477127614 (HH2_477127614),MultiscaleISN@f0783475,cells/HH2/HH2_477127614.cell.nml,HH2_477127614,cells/HH2/LEMS_477127614.xml,Allen2stage_STAGE2.Pop0.v.dat,7,34 degC,osb_allen_hh2,"Repository CITATION.md: Sadeh S, Silver RA, Mrsic-Flogel TD, Muir DR (2017). Assessing the Role of Inhibition in Stabilizing Neocortical Networks Requires Large-Scale Perturbation of the Inhibitory Population. Journal of Neuroscience 37(49):12050-12067. doi:10.1523/JNEUROSCI.0963-17.2017. The cell was tuned by OSB to Allen Cell Types Database data (cells/HH2/README.md); the Na channel file cites Pospischil et al. 2008 (doi:10.1007/s00422-008-0263-8). No publication describes this tuned cell itself.",https://github.com/OpenSourceBrain/MultiscaleISN,f07834754d68263a03b6ab8d66b72f2049c6daf6,"MIT (OSB LICENSE, no exceptions stated)",https://github.com/OpenSourceBrain/MultiscaleISN/blob/f07834754d68263a03b6ab8d66b72f2049c6daf6/LICENSE,2026-09-16,jNeuroML,"Single compartment (d 30 um). Leak 0.104 (erev -71.3 mV), Kd 20.97, IM 0.0166, IL (L-type Ca, fixed erev 58.7 mV) 0.421 mS/cm2, Na 59.7 mS/cm2 with vShift +1.80 mV (channelDensityVShift); Cm 4.27 uF/cm2. Tuning metadata in the cell notes (not an OMV reference): no spikes at 10-60 pA; 5 spikes at 70 pA (first at 429.6 ms, 6.0 Hz); 48 spikes at 170 pA; -90 pA reaches -101.8 mV. Harness steps start at 270 ms and last past the 1000 ms end. Not simulated in this sweep.",include,"Pilot 2 model (D-053): eligible under all 13 curation criteria in campaign curation-v3; selected for source, channel-composition and response diversity, not for any detection outcome"
hay2011_soma,Hay et al. 2011 L5b pyramidal cell channel set in a single soma compartment (Soma_AllCML),L5bPyrCellHayEtAl2011@a813a88a,neuroConstruct/generatedNeuroML2/Soma_AllCML.cell.nml,Soma_AllCML,neuroConstruct/generatedNeuroML2/LEMS_L5bPyrCellHayEtAl2011_LowDt.xml,CG_TestCML_0.dat,1,6.3 degC,hay2011_bbp_channels,"Hay E, Hill S, Schuermann F, Markram H, Segev I (2011). Models of Neocortical Layer 5b Pyramidal Cells Capturing a Wide Range of Dendritic and Perisomatic Active Properties. PLoS Computational Biology 7(7):e1002107. doi:10.1371/journal.pcbi.1002107",https://github.com/OpenSourceBrain/L5bPyrCellHayEtAl2011,a813a88af8eb77fc59ef70bb3e5aef6397e682f7,"MIT (OSB LICENSE; exception: NEURON directory, cite-on-use condition; candidate files lie outside it)",https://github.com/OpenSourceBrain/L5bPyrCellHayEtAl2011/blob/a813a88af8eb77fc59ef70bb3e5aef6397e682f7/LICENSE,2026-09-16,jNeuroML,"Single compartment (d 13.47 um, L 23.17 um). Ih 0.2, Im 0.0675, K_Pst 2.23, K_Tst 81.2, Nap_Et2 1.72, NaTa_t 300, SK_E2 0.08, SKv3_1 293, pas 0.0338 mS/cm2; Ca_HVA 0.992 and Ca_LVAst 3.43 mS/cm2 (Nernst); Hay Ca pool. Harness: -0.01 nA 100-200 ms, then +0.05 nA 300-400 ms. Shipped NEURON reference used by the jNeuroML OMV test (NEURON/test/.test.soma.mep): 7 spikes 306.3-397.0 ms, ISI 13.8 -> 15.8 ms (mild lengthening). Not simulated in this sweep.",include,"Held-out evaluation model (2026-09-20): eligible under all 13 criteria in curation-v4 at the amended 4,200 s budget (H-01). Never mutated; no detection outcome exists. Assigned to the held-out split before the confirmatory run and after the AsPredicted preregistration."
