model_id,model_hash,operator,site,severity,protocol_id,run_id,run_timestamp,git_commit,trace_hash,feature_hash,in_frozen_variant_manifest,in_frozen_experiment_matrix,outcome_generated,outcome_summarized,outcome_viewed_by_claude,outcome_viewed_by_human,possible_design_influence,recommended_classification,evidence_paths,note
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,0,strong,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,8c5e2c954501cb66b203efbd13bcd94507fd36077eb79a53e42888fc9ac128b1,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_gate_midpoint_0.png,"spikes_before_after=[8, 5]; max_abs_dv_mV=114.56957244873047"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,1,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,8da3e21afa47179081beb4ae4c3bed97156133a69d1d3e69a26906a144375608,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_gate_midpoint_1.png,"spikes_before_after=[8, 6]; max_abs_dv_mV=115.1088638305664"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,2,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,5c5daa79b1ebcd2d93cf297449f7625a84de50077d68537dde8f3eb0af9a4c2b,,yes,yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_gate_midpoint_2.png,"spikes_before_after=[8, 10]; max_abs_dv_mV=116.23139190673828"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,3,strong,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,5458bafdcd193805f11014d9cab86c6b865c2c42dace37449de7380341d558d1,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_gate_midpoint_3.png,"spikes_before_after=[8, 13]; max_abs_dv_mV=115.16946792602539"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,4,strong,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,8cca356095fec366e184bed7856472c760c9bd4ab7f7314b521627c097cd4dc3,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_gate_midpoint_4.png,"spikes_before_after=[8, 3]; max_abs_dv_mV=110.18176651000977"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,5,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,73eea68c972343dee8682503be3516e79f884863b5470edec57336fcd44f00dc,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_gate_midpoint_5.png,"spikes_before_after=[8, 7]; max_abs_dv_mV=115.86695861816406"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,0,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,38a9e5f96831f9b4c98ba0897909389ebb12c3f5fb863430710bc31eec39f03b,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_scale_gate_slope_0.png,"spikes_before_after=[8, 9]; max_abs_dv_mV=115.8750991821289"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,1,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,f9792f4c9056f1298368c1643edef405ffea39ea88bd016939bc9cf44922aa37,,yes,yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_scale_gate_slope_1.png,"spikes_before_after=[8, 7]; max_abs_dv_mV=116.98194122314453"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,2,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,cb78974a4508971a34594ab1666a098a475804267a5b94eb41db7653707722d0,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_scale_gate_slope_2.png,"spikes_before_after=[8, 11]; max_abs_dv_mV=115.70621109008789"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,3,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,40a252e683b664f3097d46739a4a26b37f44a3f0089ec52e1d759cc2347ddcc9,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_scale_gate_slope_3.png,"spikes_before_after=[8, 5]; max_abs_dv_mV=116.86552810668945"
