model_id,name,source_family,decision,exact_reason,publication,license,license_url,snapshot,commit,validation,validation_errors,execution,recording_location,current_response,response_type,rheobase_nA,rebound_spikes_P08,sag_ratio_P07,estimated_variant_runtime_s,runtime_within_budget,convergence,refinement_excluded,deterministic,mutation_applicability,semantic_operators_with_site,ion_channels,protocols_compatible,pilot2_selected
acnet2_pyr_soma,ACnet2 (Beeman) pyramidal cell soma with Traub 1991 channels (pyr_soma_m_in_b_in),acnet2_traub1991,eligible,all criteria met,"Beeman D (2013). A modeling study of cortical waves in primary auditory cortex. BMC Neuroscience 14(Suppl 1):P23. doi:10.1186/1471-2202-14-S1-P23 | channels (per channel-file notes): Traub RD, Wong RK, Miles R, Michelson H (1991). A model of a CA3 hippocampal pyramidal neuron incorporating voltage-clamp data on intrinsic conductances. Journal of Neurophysiology 66(2):635-650. doi:10.1152/jn.1991.66.2.635",LGPL-3.0 (LICENSE.lesser),https://github.com/NeuroML/NeuroML2/blob/a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58/LICENSE.lesser,NeuroML2@a5f5dadc,a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58,pass,,pass,pass,pass,tonic,0.007615600027320539,0.0,0.07644029205149086,1452.0,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,Ca_pyr;Kahp_pyr;Kdr_pyr;LeakConductance_pyr;Na_pyr,pass,yes
bahl2012_soma,"Bahl et al. 2012 reduced L5 pyramidal cell, single-compartment soma (pyr_cell)",bahl2012,excluded,"C02_reuse_rights: documented reuse rights (licence recorded, not unclear); C03_files_present: required files present (cell file and shipped simulation file)","Bahl A, Stemmler MB, Herz AVM, Roth A (2012). Automated optimization of a reduced layer 5 pyramidal cell model based on experimental data. Journal of Neuroscience Methods 210(1):22-34. doi:10.1016/j.jneumeth.2012.04.006",unclear (no LICENSE/LICENCE/COPYING file in the tree at this commit; GitHub licence API: none),,BahlEtAl2012_ReducedL5PyrCell@8275beaa,8275beaa52267801720d1664856d13e5d56bd11c,,,,,,,,,,,,,,,,,,,no
bbp2015_soma,Blue Brain Project NMC channel set in a single soma compartment (Soma_AllNML2),hay2011_bbp_channels,eligible,all criteria met,"Markram H, Muller E, Ramaswamy S, Reimann MW, et al. (2015). Reconstruction and Simulation of Neocortical Microcircuitry. Cell 163(2):456-492. doi:10.1016/j.cell.2015.09.029 (CITATION.md also asks for Ramaswamy et al. 2015, Front Neural Circuits 9:44, doi:10.3389/fncir.2015.00044; that DOI was not checked against Crossref)",MIT (OSB LICENSE; exception: NMC/parser/L* directories carry their own licence; candidate files are in NMC/NeuroML2),https://github.com/OpenSourceBrain/BlueBrainProjectShowcase/blob/9ab1b3935e6df511bd84837c1b20f99a4b97555a/LICENSE,BlueBrainProjectShowcase@9ab1b393,9ab1b3935e6df511bd84837c1b20f99a4b97555a,pass,"File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\bbp2015_soma\reference\NMC\NeuroML2\CaDynamics_E2_NML2.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!; Error when parsing against Schema (class org.xml.sax.SAXParseException):; cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.neuroml.org/schema/neuroml2"":concentrationModel}'.; Validated 17 files: 16 passed, 1 failed",pass,pass,pass,tonic,0.02735468888737108,0.0,0.47187821963878296,2770.3,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,Ca_HVA;Ca_LVAst;Ih;Im;K_Pst;K_Tst;KdShu2007;NaTa_t;NaTs2_t;Nap_Et2;SK_E2;SKv3_1;pas,pass,no
bezaire2016_olm,"Bezaire et al. 2016 CA1 O-LM interneuron (olmcell; 8 segments in soma, 2 dendrites, axon)",bezaire2016,excluded,"C02_reuse_rights: documented reuse rights (licence recorded, not unclear); C03_files_present: required files present (cell file and shipped simulation file)","Bezaire MJ, Raikov I, Burk K, Vyas D, Soltesz I (2016). Interneuronal mechanisms of hippocampal theta oscillations in a full-scale model of the rodent CA1 circuit. eLife 5:e18566. doi:10.7554/eLife.18566",unclear (no LICENSE/LICENCE/COPYING file in the tree at this commit; GitHub licence API: none),,ca1@a8655fa8,a8655fa8614687276b82d88599c818dc29cb522f,,,,,,,,,,,,,,,,,,,no
boyle2008_muscle,Boyle & Cohen 2008 C. elegans body-wall muscle cell (SingleCompMuscleCell),boyle2008,excluded,C03_files_present: required files present (cell file and shipped simulation file),"Boyle JH, Cohen N (2008). Caenorhabditis elegans body wall muscles are simple actuators. Biosystems 94(1-2):170-181. doi:10.1016/j.biosystems.2008.05.025",MIT (OpenWorm LICENSE),https://github.com/openworm/muscle_model/blob/2b3c65f4e58f2088633ecbdb930f55701581ea7d/LICENSE,muscle_model@2b3c65f4,2b3c65f4e58f2088633ecbdb930f55701581ea7d,,,,,,,,,,,,,,,,,,,no
hay2011_soma,Hay et al. 2011 L5b pyramidal cell channel set in a single soma compartment (Soma_AllCML),hay2011_bbp_channels,eligible,all criteria met,"Hay E, Hill S, Schuermann F, Markram H, Segev I (2011). Models of Neocortical Layer 5b Pyramidal Cells Capturing a Wide Range of Dendritic and Perisomatic Active Properties. PLoS Computational Biology 7(7):e1002107. doi:10.1371/journal.pcbi.1002107","MIT (OSB LICENSE; exception: NEURON directory, cite-on-use condition; candidate files lie outside it)",https://github.com/OpenSourceBrain/L5bPyrCellHayEtAl2011/blob/a813a88af8eb77fc59ef70bb3e5aef6397e682f7/LICENSE,L5bPyrCellHayEtAl2011@a813a88a,a813a88af8eb77fc59ef70bb3e5aef6397e682f7,pass,"File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\hay2011_soma\reference\neuroConstruct\generatedNeuroML2\CaDynamics_E2_NML2.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!; Error when parsing against Schema (class org.xml.sax.SAXParseException):; cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.neuroml.org/schema/neuroml2"":concentrationModel}'.; Validated 14 files: 13 passed, 1 failed",pass,pass,pass,tonic,0.020148896933269586,0.0,0.44243970453091863,2609.8,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,Ca_HVA;Ca_LVAst;Ih;Im;K_Pst;K_Tst;NaTa_t;Nap_Et2;SK_E2;SKv3_1;pas,pass,no
maex1998_golgi,Maex and De Schutter 1998 cerebellar Golgi cell (Golgi_98),maex1998,excluded,C03_files_present: required files present (cell file and shipped simulation file),"Maex R, De Schutter E (1998). Synchronization of Golgi and Granule Cell Firing in a Detailed Network Model of the Cerebellar Granule Cell Layer. Journal of Neurophysiology 80(5):2521-2537. doi:10.1152/jn.1998.80.5.2521",MIT,https://github.com/OpenSourceBrain/GranCellLayer/blob/cee8604721c8654c24d3c69cedc07edb9679d935/LICENSE,GranCellLayer@cee86047,cee8604721c8654c24d3c69cedc07edb9679d935,,,,,,,,,,,,,,,,,GolgiPassiveCond;Golgi_CaHVA_CML;Golgi_H_CML;Golgi_KA_CML;Golgi_KCa_CML;Golgi_KDr_CML;Golgi_NaF_CML,,no
maex1998_granule,Maex and De Schutter 1998 cerebellar granule cell (Granule_98),maex1998,excluded,C03_files_present: required files present (cell file and shipped simulation file),"Maex R, De Schutter E (1998). Synchronization of Golgi and Granule Cell Firing in a Detailed Network Model of the Cerebellar Granule Cell Layer. Journal of Neurophysiology 80(5):2521-2537. doi:10.1152/jn.1998.80.5.2521",MIT,https://github.com/OpenSourceBrain/GranCellLayer/blob/cee8604721c8654c24d3c69cedc07edb9679d935/LICENSE,GranCellLayer@cee86047,cee8604721c8654c24d3c69cedc07edb9679d935,,,,,,,,,,,,,,,,,GranPassiveCond;Gran_CaHVA_98;Gran_H_98;Gran_KA_98;Gran_KCa_98;Gran_KDr_98;Gran_NaF_98,,no
migliore2005_ca1_soma,"Migliore et al. 2005 CA1 pyramidal cell, soma only (SomaOnly_allCml)",migliore2005,eligible,all criteria met,"Migliore M, Ferrante M, Ascoli GA (2005). Signal Propagation in Oblique Dendrites of CA1 Pyramidal Cells. Journal of Neurophysiology 94(6):4145-4155. doi:10.1152/jn.00521.2005","MIT (OSB LICENSE, no exceptions)",https://github.com/OpenSourceBrain/CA1PyramidalCell/blob/b854fd29bc6643c7b2e5b2d59b63b0998c0dff32/LICENSE,CA1PyramidalCell@b854fd29,b854fd29bc6643c7b2e5b2d59b63b0998c0dff32,pass,,pass,pass,pass,tonic,0.0005805614370603101,0.0,0.16766044061549787,1724.6,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,hd__vhalflmin73;kad;kap;kdr;na3;nax;pasCA1,pass,no
migliore2014_gc_soma,Migliore et al. 2014 olfactory bulb granule-cell soma (GC_soma test cell),migliore2014,eligible,all criteria met,"Migliore M, Cavarretta F, Hines ML, Shepherd GM (2014). Distributed organization of a brain microcircuit analyzed by three-dimensional modeling: the olfactory bulb. Frontiers in Computational Neuroscience 8. doi:10.3389/fncom.2014.00050",MIT,https://github.com/OpenSourceBrain/MiglioreEtAl14_OlfactoryBulb3D/blob/eaad1c8f4afc9a19ff7b2492c150e8b42cc18edf/LICENSE,MiglioreEtAl14_OlfactoryBulb3D@eaad1c8f,eaad1c8f4afc9a19ff7b2492c150e8b42cc18edf,pass,,pass,pass,pass,tonic,0.002629601803155522,0.0,0.002253258656659974,1330.7,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,kamt;kdrmt;nax;pas,pass,no
