model_id,variant_id,protocol_id,refinement_level,planned,validation_levels
acnet2_pyr_soma,m-scale_conductance-44150b501c,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P07_hyperpolarizing_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P08_rebound,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P08_rebound,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P08_rebound,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P09_short_pulse,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P09_short_pulse,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-44150b501c,P09_short_pulse,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P07_hyperpolarizing_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P08_rebound,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P08_rebound,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P08_rebound,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P09_short_pulse,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P09_short_pulse,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-15a5694767,P09_short_pulse,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P07_hyperpolarizing_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P08_rebound,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P08_rebound,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P08_rebound,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P09_short_pulse,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P09_short_pulse,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2ed5496dc2,P09_short_pulse,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P07_hyperpolarizing_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P08_rebound,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P08_rebound,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P08_rebound,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P09_short_pulse,h,always,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P09_short_pulse,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_conductance-2dc7e425d7,P09_short_pulse,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P07_hyperpolarizing_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P08_rebound,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P08_rebound,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P08_rebound,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P09_short_pulse,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P09_short_pulse,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-3400b10721,P09_short_pulse,h/4,if an apparent canonical survivor,"D,E"
